"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\12_legal_compliance\00_disclaimers.md","00_disclaimers.md","md","0.92","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\99_archive\README.md","README.md","md","0.27","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\00_INDEX.md","00_INDEX.md","md","3.25","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\01차시_재직자 교육 특성 이해.md","01차시_재직자 교육 특성 이해.md","md","7.72","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\02차시_현장 질문 대응 전략.md","02차시_현장 질문 대응 전략.md","md","8.08","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\03차시_단기 교육 구조 비교.md","03차시_단기 교육 구조 비교.md","md","7.89","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\04차시_이론-실습-피드백 비율 설계.md","04차시_이론-실습-피드백 비율 설계.md","md","7.8","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\05차시_교육 주제 선정과 제안서 초안.md","05차시_교육 주제 선정과 제안서 초안.md","md","8.31","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\06차시_공문서 자동 작성과 검토.md","06차시_공문서 자동 작성과 검토.md","md","9.65","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\07차시_주간·월간 보고서 자동 작성과 보완.md","07차시_주간·월간 보고서 자동 작성과 보완.md","md","9.94","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\08차시_사업계획서 초안 작성과 검토.md","08차시_사업계획서 초안 작성과 검토.md","md","9.5","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\09차시_문서 자동화 프롬프트 개선.md","09차시_문서 자동화 프롬프트 개선.md","md","9.82","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\10차시_기획 배경 분석과 근거 정리.md","10차시_기획 배경 분석과 근거 정리.md","md","9.4","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\11차시_대안 비교표 작성.md","11차시_대안 비교표 작성.md","md","9.07","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\12차시_보고 논리 트리 작성.md","12차시_보고 논리 트리 작성.md","md","9.39","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\13차시_데이터 구조 점검.md","13차시_데이터 구조 점검.md","md","9.56","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\14차시_경비·예산 집계표 작성.md","14차시_경비·예산 집계표 작성.md","md","9.27","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\15차시_기초 데이터 분석표 작성.md","15차시_기초 데이터 분석표 작성.md","md","9.46","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\16차시_데이터 요약 보고 메모 작성.md","16차시_데이터 요약 보고 메모 작성.md","md","9.71","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\17차시_KPI 차트 작성과 설명.md","17차시_KPI 차트 작성과 설명.md","md","9.18","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\18차시_데이터 인사이트 정리.md","18차시_데이터 인사이트 정리.md","md","9.34","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\19차시_1페이지 시각화 보고안 작성.md","19차시_1페이지 시각화 보고안 작성.md","md","9.61","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\20차시_백오피스 교육사례 시나리오 작성.md","20차시_백오피스 교육사례 시나리오 작성.md","md","9.8","2026-05-27","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\경영반_강의안_35차시\21차시_출강 주제 선정.md","21차시_출강 주제 선정.md","md","9.19","2026-05-27","Desktop","AX강사준비"
